PA_14000ft,,PA_12000ft,,PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-2000ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
13.284341435839465,70.04308695638935,24.047484454494068,70.05104365732194,30.486150367439237,71.06118946589629,30.19785189372527,74.83117382651346,30.67834934991521,78.09903352470684,30.486150367439237,81.74341567774547,40,76.09515260323158,40.09609949123799,79.8654211317392,39.807801017524014,83.25838574370286,40.09609949123799,87.65716260391156,39.90390050876201,92.18125750380835,39.90390050876201,96.83116773720153,39.807801017524014,101.22966042951975,39.90390050876201,110.02685894007405
4.154889768230646,74.93759470148669,16.647823629169025,74.94683015792629,25.392877331825886,75.07896822698518,23.182589033352173,80.22993749321296,27.987563595251558,80.23348959184358,26.642170717919726,84.88240523762016,35.3872244205766,80.49030632283703,34.71452798191069,84.95120938809518,33.46523459581685,90.16572569882467,37.7897117015263,90.16892258759222,37.50141322781232,95.19563944372103,37.11701526286038,100.47363175697961,36.63651780667044,105.12318678050973,35.48332391181458,115.42754074003406
-10.06783493499151,80.20535697068908,6.941775014132276,80.34360464939263,18.3776144714528,80.22638539458234,16.93612210288299,85.12657649748866,21.068400226116452,85.129631302311,19.819106840022613,90.15563773871372,30.87054833239118,85.01120433396628,29.42905596382137,90.16274193597494,22.9903900508762,100.46318858700559,33.17693612210289,95.06676930540235,32.21594120972301,100.34433536682519,32.60033917467496,105.24587626721117,32.408140192198985,110.0213176662103,31.44714527981911,120.32581370967986
-22.849067269643854,84.97149187127599,-4.013566986998299,85.11108934745917,11.650650084793668,84.99699593944382,8.959864330130017,90.14760999580852,14.533634821933305,90.15173043022003,13.957037874505374,95.178234160431,24.720180893159977,90.28493412886809,24.335782928208033,95.18590669347316,17.416619559072927,105.23465163553844,28.17976257772753,100.21567835442431,27.795364612775586,105.24232416858057,28.08366308648955,110.01812077744275,27.795364612775586,115.29618413267391,25.969474279253816,125.4743675488388
-35.630299604296205,88.60656752590239,-17.08309779536461,90.12835762123058,0.5031091011871212,90.14135830221863,-1.4188807235726415,95.04119419526191,6.4612775579423385,95.04701963701612,4.827586206896555,100.32408840463069,18.954211418880732,95.30760159255803,18.18541548897683,100.3339632388238,11.650650084793668,110.25731909922837,23.182589033352173,105.23891415389518,23.182589033352173,110.14017088639069,23.278688524590166,115.29284515996113,22.894290559638222,120.1938177245662,20.87620124364048,129.99483930813236
-45.144149236856975,88.22251462196027,-31.882419446014687,95.01867388994381,-9.587337478801572,95.03515562758986,-14.200113058224986,100.1843488445023,-3.052572074618425,100.19258971332533,-4.205765969474271,105.21866719170066,12.899943470887507,100.33005593033013,12.611644997173542,105.23109953690782,3.770491803278688,115.27842363952084,17.993216506500858,110.01066137031845,17.6088185415489,115.28865368357701,17.80101752402487,120.31572574956891,18.089315997738836,125.34286885753343,-11.797625777275286,134.99761501949087
,,-36.014697569248156,96.39802483018428,-23.32956472583379,100.17759985710413,-26.020350480497456,105.0768674143665,-16.218202374222713,105.33546019467528,-16.506500847936678,110.11083055170181,4.443188241944611,105.22506096923577,4.250989259468625,110.25184886733722,-7.184850197851887,120.29725483668972,11.650650084793668,115.28424908127505,11.554550593555689,120.18543477179794,11.650650084793668,125.33810904536841,13.380440927077444,130.11497128381978,-21.503674392312035,136.2471722757687
,,-40.3391746749576,96.01780819276325,-30.921424533634813,102.43410603318878,-30.921424533634813,106.58132326837728,-27.365743357829274,109.97712955924544,-29.287733182589022,115.25398520094221,-4.686263425664208,110.24524196388427,-6.1277557942340195,115.27110631634177,-16.314301865460706,125.31743583133823,3.962690785754674,120.17982245596157,3.866591294516681,125.33235464558682,5.500282645562464,130.10914584206557,-11.893725268513279,134.99754397751826,-31.0175240248728,137.74821811509406
,,-45.04804974561898,95.7629806370029,-35.53420011305822,103.18473551581039,-35.53420011305822,107.70897249965238,-35.630299604296205,112.23313844152179,-35.53420011305822,116.75744646733641,-16.4104013566987,115.26350482527225,-16.4104013566987,120.29043480731893,-27.942340305257204,129.9587499860453,-5.262860373092138,125.32560565818864,-3.34087054833239,129.97693673103407,2.1368004522329045,132.62012436404746,-26.020350480497456,136.2438333030559,-35.53420011305822,138.62459188923947
,,,,-38.128886376483884,103.55983713120335,-40.3391746749576,107.57974715147061,-40.3391746749576,112.22965738486378,-40.243075183719604,116.3769456620249,-29.864330130016953,120.28048893115322,-30.825325042396827,125.1810352439226,-30.921424533634813,130.0822209344455,-17.85189372526851,129.9662093931696,-30.825325042396827,135.48624170711827,-11.893725268513279,134.74619747841592,-30.825325042396827,136.36595445397646,-40.243075183719604,138.74678408213262
,,,,-45.144149236856975,103.17763131854915,-45.04804974561898,107.07357309660793,-45.04804974561898,111.09511708224528,-45.04804974561898,115.24233431743379,-35.630299604296205,121.53295890830815,-35.630299604296205,125.30315639484316,-35.53420011305822,129.82746442065775,-26.308648954211407,132.22207619150072,-40.243075183719604,135.98197259200694,-21.407574901074042,135.74455031953664,-35.53420011305822,137.11651289462543,-45.04804974561898,138.86890523305317
,,,,,,,,,,,,-40.243075183719604,121.15252914496924,-45.04804974561898,124.54215478422014,-40.243075183719604,129.44696361534625,-30.921424533634813,132.21866617681533,-45.144149236856975,136.10402270095489,-30.72922555115884,136.74304524460257,-40.243075183719604,137.36437833706978,,
,,,,,,,,,,,,-45.04804974561898,120.1435910499293,,,-44.951950254380996,129.06646281003478,-35.53420011305822,132.21525616212995,,,-35.438100621820226,137.24225718614923,-44.951950254380996,137.73791702906527,,
,,,,,,,,,,,,,,,,,,-40.243075183719604,132.46312160457427,,,-40.243075183719604,137.36437833706978,,,,
,,,,,,,,,,,,,,,,,,-44.85585076314301,132.8367313385424,,,-45.04804974561898,137.73784598709267,,,,
