PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,,PARALLEL_CORRECTION_1800FT/MIN,,PARALLEL_CORRECTION_2100FT/MIN,,PARALLEL_CORRECTION_2500FT/MIN,,PARALLEL_CORRECTION_2850FT/MIN,,PARALLEL_CORRECTION_3150FT/MIN,,PARALLEL_CORRECTION_3200FT/MIN,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2360.0614439324127,-44.90857717476942,2456.835637480799,-37.46196553627411,2475.268817204301,-25.996449455421953,2486.021505376344,-16.502586497639186,2495.2380952380954,-7.008681470743284,2504.4546850998468,1.170647910396184,2505.9907834101386,8.108643971664378,2509.0629800307215,13.51292637710361,2507.5268817204305,18.698239048922744,2507.5268817204296,23.007125887791133,2507.5268817204296,27.242980746339754,2509.0629800307215,30.748473732577196,1790.1689708141323,-55.7747346014647,2115.8218125960066,-55.78365325343927,2461.4439324116747,-55.79311880388394,2828.5714285714275,-55.8031733219118,3168.04915514593,-55.81247059590416,3201.8433179723497,-64.5042017744486
2338.556067588326,-40.59910136831792,2384.639016897082,-31.179237980455838,2412.288786482335,-21.612805802597222,2423.0414746543793,-12.118942844814399,2415.360983102918,-2.6245750576745195,2373.8863287250388,6.943750230273025,2261.7511520737326,16.440978717102823,2424.5775729646703,16.436519391115553,2240.245775729648,26.008757106580248,2401.536098310292,25.931307869386302,2178.8018433179723,35.504597312678214,2313.978494623656,35.35483127008692,1641.1674347158216,-65.26481133906964,1959.1397849462367,-65.27351964547876,2309.3701996927803,-65.2831114032627,2679.569892473117,-65.29325005951677,3034.4086021505373,-65.30296802463997,3057.4500768049147,-74.87078848323046
2217.2043010752686,-31.101620466809493,2249.4623655913974,-21.60834647660994,2261.7511520737326,-11.968461627300627,2257.142857142857,-2.6202419390265277,2212.596006144392,6.948167487147202,2098.9247311827967,16.445438043090107,1920.7373271889408,25.944475501782676,2080.491551459295,25.940100314021578,2009.8310291858681,31.711561938488046,2095.852534562212,33.53500557615027,,,,,1490.6298003072204,-74.7548460075615,1808.6021505376345,-74.76355431397056,2158.8325652841777,-74.7731460717545,2538.2488479262674,-74.85656912300692,2899.2319508448545,-74.86645536458246,2929.9539170506914,-84.28842220809881
2072.8110599078345,-21.603508528604834,2086.6359447004606,-12.109729709048253,2086.6359447004606,-2.615572267473823,2046.6973886328722,6.952710951360643,1922.273425499233,16.450275991095197,1739.4777265745013,25.949439657126987,1842.3963133640552,27.845452514865016,1926.8817204301088,29.961066142919464,,,,,,,,,1333.9477726574498,-84.24471239960096,1659.6006144393239,-84.25363105157547,2008.2949308755763,-84.26318074024641,2400,-84.2739083640837,2759.447004608295,-84.28375253654616,2810.138248847925,-93.7792982588524
1897.6958525345628,-12.104555208138464,1902.3041474654376,-2.6105239739033266,1854.685099846388,6.957969590496589,1736.405529953917,16.45536635377873,1631.9508448540707,24.053553006728237,,,,,,,,,,,,,,,1000.6144393241168,-103.29693026552962,1510.5990783410136,-93.81673976950026,1857.7572964669741,-93.82624738905804,2257.142857142856,-93.83718535846077,2624.2703533026097,-93.77420789616883,2707.219662058372,-103.27063706984998
1705.6835637480797,-2.6051391274281173,1661.1367127496162,6.963270298745641,1535.176651305684,16.460877407593188,1510.599078341014,22.304108938986843,,,,,,,,,,,,,,,,,800.9216589861755,-112.85865070272246,1366.205837173579,-103.30694271444443,1736.4055299539175,-103.3170813706985,2132.7188940092165,-103.32793520187505,2513.671274961598,-103.26533636160099,2601.228878648233,-112.7618917426214
1441.4746543778804,6.969286181917141,1323.195084485407,16.466682945199253,1373.8863287250385,20.48205358205655,,,,,,,,,,,,,,,,,,,549.0015360983109,-122.3459088097506,1200.3072196620585,-112.79655669180542,1599.6927803379424,-112.80749466120821,1996.0061443932407,-112.81834849238467,2400,-112.7563806888069,2449.1551459293387,-122.2518843420001
1086.6359447004609,16.473161588614744,1237.1735791090625,18.65999822512626,,,,,,,,,,,,,,,,,,,,,249.4623655913981,-131.6857988136333,971.4285714285713,-122.35747781584962,1407.6804915514597,-122.36942544396646,1822.4270353302607,-122.3807841045001,2243.317972350229,-122.31927906116624,2287.864823348694,-131.81465650702017
,,,,,,,,,,,,,,,,,,,,,,,,0.6144393241165744,-138.69005372801422,707.2196620583729,-131.84439936997296,1198.7711213517675,-131.85786148616097,1639.6313364055302,-131.86993532161705,2075.8832565284174,-131.8818829497339,2132.7188940092165,-141.23153298785297
,,,,,,,,,,,,,,,,,,,,,,,,1166.5130568356383,-93.80731628816869,452.2273425499236,-141.2585413584551,969.8924731182803,-141.27271864956555,1459.907834101383,-141.28613869664042,1917.6651305683565,-141.29867529234053,1977.5729646697393,-150.8675054096451
,,,,,,,,,,,,,,,,,,,,,,,,,,174.19354838709728,-150.74508429056067,739.4777265745008,-150.83359770449664,1277.1121351766521,-150.77528991375743,1757.910906298003,-150.86148952647358,1830.1075268817206,-160.28459223604335
,,,,,,,,,,,,,,,,,,,,,,,,,,0.6144393241170292,-155.99863306380757,513.6712749615983,-160.24853900612737,1069.7388632872505,-160.26376802506502,1587.4039938556068,-160.27794531617553,1796.3133640553003,-162.0364342432307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.5883256528425,-161.92701248009018,1017.511520737328,-162.01510520289537,1542.8571428571438,-162.02949283957128,,
