PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,,PARALLEL_CORRECTION_1,,PARALLEL_CORRECTION_2,,PARALLEL_CORRECTION_3,,PARALLEL_CORRECTION_4,,PARALLEL_CORRECTION_5,,PARALLEL_CORRECTION_6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1345.1523545706377,-45.0344827586207,1479.889196675901,-45.0344827586207,1586.2603878116352,-42.90640394088669,1621.7174515235465,-33.86206896551724,1642.9916897506928,-25.881773399014776,1667.811634349031,-17.369458128078833,1689.0858725761782,-9.92118226600985,1703.2686980609424,-3.1822660098522135,1717.4515235457066,3.0246305418719146,1720.9972299168985,7.812807881773381,1724.5429362880895,11.89162561576353,1735.1800554016627,14.90640394088669,157.34072022160717,-56.02955665024629,597.0083102493081,-56.02955665024629,997.6731301939062,-56.02955665024629,1426.7036011080336,-56.02955665024629,1809.6398891966764,-56.02955665024629,2008.1994459833804,-56.02955665024629
1295.5124653739617,-40.06896551724137,1430.249307479225,-40.06896551724137,1440.8864265927982,-30.13793103448276,1572.07756232687,-29.960591133004925,1572.07756232687,-19.852216748768484,1561.440443213297,-10.098522167487687,1508.2548476454303,0.009852216748754472,1642.9916897506928,0.18719211822659076,1518.8919667590035,9.940886699507388,1657.1745152354579,9.940886699507388,1479.889196675901,19.871921182266007,1600.4432132963993,19.871921182266007,100.60941828254909,-65.96059113300493,515.4570637119118,-65.96059113300493,912.5761772853189,-65.96059113300493,1316.7867036011085,-65.96059113300493,1713.9058171745155,-65.96059113300493,1912.4653739612195,-65.96059113300493
1182.0498614958456,-30.13793103448276,1313.2409972299174,-30.13793103448276,1306.1495844875353,-20.02955665024632,1444.4321329639893,-20.02955665024632,1426.7036011080336,-10.098522167487687,1373.5180055401665,0.009852216748754472,1235.2354570637126,9.940886699507388,1377.063711911358,10.118226600985224,1196.2326869806097,20.04926108374383,1338.0609418282552,20.04926108374383,1089.8614958448757,29.980295566502463,1213.9612188365654,29.980295566502463,-2.2160664819939484,-75.89162561576353,398.44875346260415,-75.89162561576353,799.1135734072027,-76.06896551724137,1196.2326869806097,-75.89162561576353,1596.8975069252083,-76.06896551724137,1799.0027700831033,-75.89162561576353
1050.8587257617733,-20.02955665024632,1182.0498614958456,-20.02955665024632,1160.7756232686984,-9.92118226600985,1291.9667590027707,-9.92118226600985,1235.2354570637126,0.009852216748754472,1096.9529085872582,10.118226600985224,923.2132963988925,20.04926108374383,1065.041551246538,20.04926108374383,827.479224376732,29.980295566502463,965.7617728531859,29.980295566502463,705.1523545706377,39.999999999999986,823.9335180055405,39.999999999999986,-147.59002770083043,-86,238.89196675900303,-86,643.1024930747926,-86,1061.4958448753468,-86,1462.160664819945,-86,1660.720221606649,-86.17733990147784
905.4847645429368,-10.098522167487687,1033.1301939058176,-10.098522167487687,965.7617728531859,0.009852216748754472,1104.0443213296403,0.009852216748754472,958.6703601108038,9.940886699507388,795.5678670360116,20.04926108374383,565.0969529085878,29.980295566502463,703.3795013850422,29.980295566502463,533.1855955678675,34.0591133004926,653.7396121883662,37.96059113300491,,,,,-324.87534626038723,-95.9310344827586,65.15235457063773,-96.10837438423644,472.90858725761836,-95.9310344827586,919.6675900277014,-95.9310344827586,1323.878116343491,-96.10837438423644,1522.4376731301945,-96.10837438423644
710.4709141274243,0.009852216748754472,834.570637119114,0.009852216748754472,703.3795013850422,9.940886699507388,834.570637119114,9.940886699507388,657.2853185595573,20.04926108374383,433.9058171745155,29.980295566502463,483.5457063711915,32.10837438423644,533.1855955678675,34.0591133004926,,,,,,,,,-519.8891966758997,-106.03940886699507,-105.04155124653698,-106.03940886699507,316.8975069252083,-106.03940886699507,781.385041551247,-106.03940886699507,1199.7783933518012,-106.03940886699507,1398.3379501385048,-106.03940886699507
433.9058171745155,9.940886699507388,572.1883656509699,9.940886699507388,409.08587257617774,20.04926108374383,533.1855955678675,20.04926108374383,377.1745152354574,28.206896551724128,,,,,,,,,,,,,,,-718.4487534626035,-115.97044334975371,-275.2354570637117,-116.14778325123152,157.34072022160717,-116.14778325123152,650.1939058171752,-116.14778325123152,1079.2243767313025,-115.97044334975371,1277.783933518006,-116.14778325123152
118.33795013850477,20.04926108374383,277.8947368421059,20.04926108374383,263.71191135734125,24.305418719211815,327.5346260387814,26.078817733990135,,,,,,,,,,,,,,,,,-799.9999999999998,-119.69458128078819,-459.6121883656506,-125.90147783251231,4.875346260388142,-125.90147783251231,511.91135734072077,-126.07881773399012,958.6703601108038,-126.07881773399012,1160.7756232686984,-126.07881773399012
,,199.88919667590062,22.177339901477822,,,,,,,,,,,,,,,,,,,,,,,-647.5346260387807,-135.83251231527092,-151.13573407202193,-136.00985221674878,373.6288088642664,-136.1871921182266,845.2077562326876,-136.00985221674878,1047.3130193905822,-136.00985221674878
