PA_10000ft,,PA_9000ft,,PA_8000ft,,PA_7000ft,,PA_6000ft,,PA_5000ft,,PA_4000ft,,PA_3000ft,,PA_2000ft,,PA_1000ft,,PA_0ft,,PA_-1000ft,,PARALLEL_CORRECTION_1,,PARALLEL_CORRECTION_2,,PARALLEL_CORRECTION_3,,PARALLEL_CORRECTION_4,,PARALLEL_CORRECTION_5,,PARALLEL_CORRECTION_6,,PARALLEL_CORRECTION_7,,PARALLEL_CORRECTION_8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
556.2326869806097,-44.824661373699485,680.3324099722995,-44.99839138874955,793.7950138504157,-44.99525050712151,907.2576177285318,-44.8149442711628,1010.0831024930749,-44.9892632015181,1116.454293628809,-45.163483979322564,1229.9168975069256,-44.8060123890331,1332.7423822714682,-44.8031659650577,1460.3878116343494,-44.97679782755688,1591.5789473684213,0.9126605884790706,1602.2160664819944,6.936577093375774,1605.7617728531854,12.25163587584791,-649.3074792243767,-56.019450563831896,-269.9168975069251,-56.008948240888174,148.4764542936291,-55.997366239884855,584.5983379501386,-55.98529347612714,1002.9916897506928,-55.97371147512379,1400.1108033240998,-55.9627183894257,1800.7756232686984,-55.95162715117675,2006.4265927977845,-55.945934303225954
573.9612188365654,-40.04070604401599,694.5152354570637,-39.8602035029555,811.5235457063714,-39.856964468776596,928.531855955679,-40.03089078892842,1031.3573407202216,-39.85087901062229,1144.8199445983382,-39.84773812899428,1254.7368421052633,-39.84469539991713,1364.6537396121885,-40.0188180251707,1478.116343490305,-40.01567714354269,1389.4736842105267,10.119664318275966,1527.7562326869806,10.123492267760128,1357.5623268698064,20.040040787837796,-706.0387811634348,-65.94228084716556,-316.0110803324101,-65.93148406656925,84.65373961218847,-65.92039282832027,503.0470914127427,-65.90881082731696,907.2576177285318,-65.89762143651711,1304.3767313019393,-65.88662835081902,1708.5872576177285,-65.87543896001918,1910.6925207756235,-65.86984426461927
595.2354570637121,-29.941691931860333,715.7894736842109,-29.938354745130567,836.3434903047091,-29.9350175584008,956.8975069252078,-29.931680371671007,1066.814404432133,-29.928637642593856,1190.9141274238227,-29.925202303313228,1297.2853185595568,-29.92225772678694,1403.6565096952909,-29.919313150260678,1513.5734072022165,-29.916270421183526,1063.268698060942,20.031894126115105,1208.6426592797784,20.03591838070102,963.9889196675904,30.127571051540983,-798.2271468144045,-75.51176194734663,-401.108033240997,-76.03226492464066,-0.44321329639888063,-75.84400833206101,396.6759002770086,-75.83301524636292,797.3407202216067,-75.82192400811397,1198.0055401662053,-75.81083276986502,1602.2160664819944,-75.79964337906517,1800.7756232686984,-75.79414683621613
602.3268698060942,-20.020235784238878,733.5180055401665,-20.01660413985647,846.9806094182827,-19.83629790389776,978.1717451523546,-19.83266625951535,1091.6343490304712,-20.006690732218033,1215.734072022161,-20.003255392937376,1329.1966759002771,-20.000114511309363,1442.6592797783937,-19.819808275350624,1545.4847645429368,-19.99412720570595,666.1495844875349,30.119326237267416,818.6149584487534,29.946381442624357,552.6869806094182,39.860279843828366,,,-532.2991689750693,-85.95715641154277,-120.9972299168976,-85.76860536131045,269.03047091412736,-85.93497393504484,676.786703601108,-85.74652103736341,1077.4515235457066,-85.91259515344518,1474.570637119114,-85.72443671341637,1673.1301939058171,-85.89610552489805
609.4182825484768,-17.89405522716862,729.972299168975,-15.941899142801077,854.0720221606648,-14.875471677536154,981.7174515235461,-13.27744999672828,1116.454293628809,-12.387893428141467,1226.371191135734,-9.90453573843439,1350.4709141274238,-9.901100399153734,1471.0249307479226,-9.897763212423968,1573.850415512466,-9.894916788448569,336.39889196675904,38.08263899491787,396.6759002770086,40.03312648592055,,,,,-691.8559556786704,-95.88283311885183,-262.82548476454303,-95.87095666019587,134.29362880886447,-95.85996357449781,549.1412742382272,-95.84847972604533,953.3518005540168,-95.83729033524551,1343.3795013850417,-96.00365890897987,1541.9390581717457,-95.99816236613083
439.2243767313021,-10.103490959059485,598.7811634349032,-9.921908739939397,754.7922437673133,-9.917590027700868,910.8033240997233,-9.91327131546231,1070.3601108033245,-9.90885445067292,1013.6288088642659,0.18800030536345957,1173.185595567867,0.01525181582218238,1471.0249307479226,-7.06311754313262,1577.396121883657,-5.111354068968524,,,,,,,,,-798.2271468144045,-102.44089580561433,-401.108033240997,-105.79604445219971,-124.54293628808864,-115.88681375008179,432.13296398892,-105.95014395707463,843.4349030470917,-105.93875826117306,1229.9168975069256,-105.92805963312759,1432.0221606648201,-105.92246493772768
222.93628808864287,0.166112286518171,382.493074792244,0.1705291513075906,534.9584487534626,0.1747497109952576,694.5152354570637,0.17916657578464878,846.9806094182827,0.18338713547231578,744.1551246537397,10.278965908347317,917.8947368421054,10.106610029009516,1322.105263157895,0.19653957728965565,1463.9335180055405,0.2004656793246795,,,,,,,,,,,-546.4819944598339,-115.72132854930527,-248.6426592797784,-125.81150893188214,318.67036011080336,-115.87454468122235,740.6094182825486,-116.04002988199886,1123.5457063711915,-115.85226405217355,1325.650969529086,-115.84666935677365
-42.99168975069233,10.080010687722165,113.01939058171774,9.907164045630026,269.03047091412736,10.088648112199252,432.13296398892,10.093163129539533,595.2354570637121,10.097678146879815,432.13296398892,20.014422972059236,581.0526315789475,20.018545379196013,1077.4515235457066,10.111026893798908,1233.4626038781166,10.115345606037437,,,,,,,,,,,-706.0387811634348,-125.82417061094515,-383.3795013850413,-135.9136639256658,205.2077562326872,-125.79894540537003,630.6925207756235,-125.96433245359566,1024.2659279778395,-125.77627216611779,1222.825484764543,-125.94794097759939
-323.10249307479216,19.993516478722697,-167.0914127423821,19.997835190961226,-28.808864265927696,20.001663140445388,120.11080332409983,19.828620193251453,272.57617728531886,20.010006107269817,45.65096952908607,30.279314895194872,322.2160664819944,27.275159770541137,751.2465373961222,20.023256701638047,903.7119113573408,20.0274772613257,,,,,,,,,,,-798.2271468144045,-131.67317927018127,-518.1163434903046,-145.83865356511876,91.74515235457056,-135.90051148384845,527.8670360110805,-135.88843872009073,924.9861495844875,-135.87744563439264,1120,-135.6948818897638
