AUW_10000kg,,AUW_10500kg,,AUW_11000kg,,AUW_11500kg,,AUW_12000kg,,AUW_12500kg,,AUW_13000kg,,AUW_13500kg,,AUW_14000kg,,AUW_14500kg,,AUW_15000kg,,AUW_15500kg,,AUW_15600kg,,60Q_REQ_wind curve,,70Q_REQ_wind curve,,80Q_REQ_wind curve,,90Q_REQ_wind curve,,100Q_REQ_wind curve,,110Q_REQ_wind curve,,120Q_REQ_wind curve,,130Q_REQ_wind curve,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
74.33430515063168,12482.318464025135,79.93197278911565,12543.40700010574,85.76287657920311,12480.097886675023,91.74927113702624,12510.022810012237,97.89115646258503,12508.829438511155,104.421768707483,12507.560537168236,111.10787172011662,12506.261423888576,118.33819241982508,12567.032734633456,124.48007774538387,12037.34195380595,128.98931000971817,11010.559071889304,129.92225461613216,8834.211997160077,130,6191.7098445595875,130,5632.124352331608,59.9514091350826,-9152.19263130863,69.98056365403303,-9154.14130122812,80.00971817298348,-9187.178054049153,89.96112730806608,-9158.02353509872,99.99028182701652,-9191.060287919754,109.94169096209913,-9161.905768969322,119.89310009718173,-9226.015498723551,130,-9134.715025906735
69.98056365403303,8037.568543331472,74.80077745383868,8036.6319732926495,79.54324586977648,8035.710509222194,84.90767735665695,8034.668197404797,90.42759961127308,8033.59567365066,96.33624878522838,8032.447620054685,102.16715257531584,8000.226589525522,108.2312925170068,8061.224489795921,114.52866861030127,8028.912823456547,116.62779397473275,6038.867656611128,118.6491739552964,4079.925678635631,124.86880466472303,4047.6291182646273,121.91448007774538,2027.4777564615797,59.17395529640427,-11172.766960225985,69.12536443148687,-11174.700524177104,79.15451895043732,-11176.649194096586,89.33916423712343,-11178.628075952809,99.67930029154519,-11180.637169745765,109.70845481049562,-11182.585839665255,119.65986394557824,-11153.431320714815,130,-11186.52849740933
67.10398445092322,4027.7647698605724,71.45772594752187,4026.9188356319573,75.96695821185617,4057.130772368164,80.5539358600583,4056.239520234445,85.29640427599611,4024.229973262438,90.19436345966959,4023.278297255245,95.48104956268222,4022.251091406215,101.00097181729835,4021.1785676520813,106.75413022351798,3988.972643091285,109.00874635568513,2029.9853472106843,107.76482021379981,-1980.1356515959415,120.59280855199223,2058.8226408253904,114.21768707482994,-1981.3894469704974,57.93002915451895,-13193.250653333133,67.72594752186589,-13164.06592244596,77.444120505345,-13165.954168491968,87.78425655976676,-13136.875179383373,98.66861030126337,-13201.166180758017,109.1642371234208,-13234.293569389265,119.89310009718173,-12801.145032402303,129.84450923226433,-12865.254762156525
64.61613216715257,80.06163235093845,67.49271137026238,-2003.398842882816,72.77939747327503,-14.78874303237535,77.21088435374149,-15.649783229353488,81.4868804664723,-16.480611489598232,84.28571428571429,-1944.4855662472255,88.71720116618076,-2038.6108551488724,93.14868804664724,-2039.4718953458505,100.30126336248786,42.03990996842913,102.71137026239067,-1979.1537636520152,101.31195335276968,-7512.560612698078,114.91739552964043,-924.5305820329595,108.54227405247813,-5990.649405580145,56.06413994169096,-15182.52541579178,65.08260447035957,-15153.189625220926,74.645286686103,-15186.135742231752,85.37414965986395,-15219.308448768112,96.80272108843538,-15221.529026118224,107.76482021379981,-15223.65896765812,119.5821185617104,-13236.317769150592,129.68901846452866,-13238.281545038444
60.80660835762876,-5981.374341002134,66.24878522837706,-3930.6182872853024,70.29154518950438,-3962.491880542002,74.33430515063168,-3963.277390897143,76.12244897959184,-7445.4901131437,80.0874635568513,-7508.436683333588,84.28571428571429,-7447.076239822352,88.40621963070943,-7385.700690342754,92.6044703595724,-7479.7806613392895,97.03595724003887,-7449.5536186347235,,,110.01943634596697,-3970.2110303781083,106.90962099125365,-7482.560159519024,54.35374149659864,-17202.918473088714,61.350826044703595,-17173.189927340296,70.99125364431487,-17206.151150319492,82.03109815354713,-17208.29619782776,94.15937803692906,-17210.652728893183,105.43245869776483,-17212.84309430656,118.02721088435375,-15225.652955482714,127.90087463556851,-15165.395247662353
60.4178814382896,-6634.148552092927,63.91642371234208,-7412.0303932083625,67.95918367346938,-7474.992069366606,72.0019436345967,-7444.689496820196,,,,,,,,,,,,,,,105.82118561710399,-7513.436758863427,,,52.565597667638485,-19192.208341515732,58.00777453838678,-19162.177676399944,66.3265306122449,-19163.79401501533,77.28862973760933,-19197.012039456793,89.02818270165209,-19199.29304068037,99.99028182701652,-19201.422982220276,115.22837706511176,-17214.74644632094,125.10204081632654,-17185.576821402137
60.029154518950435,-7442.363177691506,,,,,,,,,,,,,,,,,,,,,,,,,50.466472303207,-21181.437786069277,55.053449951409135,-21120.152872399885,62.050534499514086,-21183.688575356122,70.91350826044703,-21185.410655750085,80.70942662779397,-21218.402090666023,90.66083576287659,-21220.33565461714,110.17492711370262,-19203.4018640765,120.12633624878524,-19112.07117932295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99028182701652,-21191.060287919754,114.99514091350827,-20199.15708696506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.1642371234208,-21161.75470928564
