AUW_15600kg,,AUW_15000kg,,AUW_14600kg,,AUW_14000kg,,AUW_13500kg,,AUW_13000kg,,AUW_12500kg,,AUW_12000kg,,AUW_11500kg,,AUW_11000kg,,AUW_10500kg,,AUW_10000kg,,5SR_ALT_Windcurve,,10SR_ALT_Windcurve,,20SR_ALT_Windcurve,,30SR_ALT_Windcurve,,40SR_ALT_Windcurve,,50SR_ALT_Windcurve,,60SR_ALT_Windcurve,,70SR_ALT_Windcurve,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
40.92307692307692,13.308578745198464,61.230769230769226,13.32394366197183,79.07692307692307,13.32394366197183,80,11.80281690140845,80,10.112676056338028,80.15384615384616,9.31370038412292,80,8.653008962868117,80.15384615384616,7.992317541613316,80,7.362355953905249,80,6.916773367477592,80,6.379001280409732,80,5.718309859154928,5.076923076923066,1.4161331626120344,10.153846153846146,1.4314980793854026,20,1.4314980793854026,29.538461538461533,1.4007682458386697,40,1.4161331626120344,50,1.4007682458386697,60,1.4161331626120344,70.15384615384616,1.4007682458386697
30.153846153846146,12.033290653008963,50.153846153846146,12.509603072983355,70.07692307692307,12.74775928297055,60,10.742637644046095,60.30769230769232,9.482714468629961,60,8.791293213828425,60.15384615384616,8.130601792573623,60,7.5620998719590276,60,6.99359795134443,60.15384615384616,6.501920614596671,60,5.910371318822023,60.15384615384616,5.334186939820743,4.153846153846146,0.41741357234315046,8.92307692307692,0.41741357234315046,18.153846153846146,0.41741357234315046,27.230769230769226,0.9859154929577478,36.92307692307692,0.8322663252240723,48.46153846153845,1.154929577464788,60,0.41741357234315046,70.15384615384616,0.601792573623559
23.07692307692308,11.003841229193341,40.153846153846146,11.695262483994878,60,12.186939820742637,40,9.54417413572343,50,9.129321382842509,50,8.437900128040972,50,7.823303457106274,50.153846153846146,7.316261203585148,50.153846153846146,6.763124199743919,50.153846153846146,6.256081946222793,50.153846153846146,5.641485275288094,50.153846153846146,5.10371318822023,4,-0.5659411011523687,7.692307692307693,-0.5659411011523687,17.538461538461533,-0.581306017925737,27.07692307692308,0.44814340588988344,36.92307692307692,0.41741357234315046,47.84615384615384,0.8629961587708053,62.15384615384616,0.30985915492957616,72.15384615384616,0.4327784891165187
17.692307692307693,10.005121638924455,31.692307692307693,11.01920614596671,50.30769230769231,11.55697823303457,30.153846153846146,8.852752880921894,40.30769230769231,8.714468629961587,40.30769230769231,8.038412291933419,40.30769230769231,7.439180537772087,40,7.0089628681177985,40.153846153846146,6.455825864276569,40,5.9180537772087085,39.84615384615384,5.334186939820743,40.153846153846146,4.842509603072983,4.153846153846146,-1.5646606914212562,8.153846153846146,-1.580025608194621,17.538461538461533,-1.580025608194621,29.07692307692308,-0.5659411011523687,39.84615384615384,-0.13572343149807864,48.92307692307692,0.44814340588988344,70,0.15620998719590418,76.76923076923077,0.32522407170294443
13.538461538461533,9.021766965428936,24.307692307692307,10.03585147247119,40,10.819462227912933,20,8.007682458386684,30,8.176696542893726,30.153846153846146,7.608194622279129,30,7.024327784891165,30.153846153846146,6.609475032010245,30.153846153846146,6.056338028169016,29.84615384615384,5.47247119078105,30,4.950064020486554,30.153846153846146,4.489116517285531,4.769230769230759,-2.5941101152368766,9.230769230769226,-2.5787451984635084,20.153846153846146,-2.2868117797695255,29.84615384615384,-0.919334186939821,44.153846153846146,-0.5966709346991017,51.076923076923066,0.18693982074263715,80,0.0179257362355969,80,0.30985915492957616
10.153846153846146,8.038412291933419,20,9.375160051216389,31.84615384615384,10.005121638924455,14.153846153846146,7.454545454545455,20,7.408450704225352,20,6.901408450704226,20.153846153846146,6.440460947503201,20.153846153846146,6.010243277848911,20,5.457106274007682,20,4.8886043533930845,20,4.4276568501920615,20,4.028169014084508,4.615384615384613,-3.5774647887323923,10.153846153846146,-3.5774647887323923,22.153846153846146,-2.5787451984635084,33.07692307692308,-1.580025608194621,49.84615384615384,-1.1190781049935978,59.84615384615384,-0.3969270166453249,,,,
7.076923076923066,7.039692701664533,17.692307692307693,9.021766965428936,22.615384615384613,9.021766965428936,8.92307692307692,6.025608194622279,14.07692307692308,6.839948783610755,13.84615384615384,6.33290653008963,15.07692307692308,6.0717029449423805,15.07692307692308,5.518565941101151,15.230769230769226,5.026888604353392,15.07692307692308,4.535211267605632,14.461538461538453,4.104993597951346,15.07692307692308,3.7055057618437885,5.153846153846146,-4.5608194622279115,13.230769230769226,-4.591549295774648,26,-3.0550576184378997,40,-2.225352112676056,58.769230769230774,-1.580025608194621,70.30769230769232,-0.734955185659409,,,,
5.076923076923066,6.2868117797695255,15.230769230769226,8.637644046094751,15.07692307692308,8.161331626120358,5.230769230769226,4.965428937259922,10.76923076923076,6.010243277848911,10,5.411011523687581,10.307692307692307,5.026888604353392,12.461538461538453,5.011523687580027,9.692307692307693,4.028169014084508,11.84615384615384,4.028169014084508,5.076923076923066,2.507042253521128,9.84615384615384,2.9987195902688875,,,,,30.153846153846146,-3.3469910371318825,49.69230769230769,-2.655569782330346,63.53846153846155,-1.7336747759282964,80.30769230769232,-0.8732394366197198,,,,
,,12.615384615384613,8.007682458386684,10.307692307692307,7.024327784891165,,,7.076923076923066,5.026888604353392,5.076923076923066,4.081946222791295,5.230769230769226,3.7976952624839946,5.230769230769226,3.3674775928297045,5.230769230769226,3.0448143405889887,5.076923076923066,2.7989756722151107,,,5.230769230769226,2.0768245838668378,,,,,40.30769230769231,-3.731113956466068,60.15384615384616,-2.9167733674775924,70,-1.8719590268886037,,,,,,
